archivo_actual,propuesta_nueva,nota
Bolsas.html,public/pages/productos/Bolsas.php,
CatalogoAccesorios.html,public/pages/catalogos/CatalogoAccesorios.php,
CatalogoBolyLam.html,public/pages/catalogos/CatalogoBolyLam.php,
CatalogoCobertores.html,public/pages/catalogos/CatalogoCobertores.php,
CatalogoDuctos.html,public/pages/catalogos/CatalogoDuctos.php,
CatalogoMantas.html,public/pages/catalogos/CatalogoMantas.php,
CatalogoOtros.html,public/pages/catalogos/CatalogoOtros.php,
CatalogoPolietileno.html,public/pages/catalogos/CatalogoPolietileno.php,
CatalogoPolipropileno.html,public/pages/catalogos/CatalogoPolipropileno.php,
CatalogoPolytarp.html,public/pages/catalogos/CatalogoPolytarp.php,
CatalogoRollos.html,public/pages/catalogos/CatalogoRollos.php,
CatalogoRollyMang.html,public/pages/catalogos/CatalogoRollyMang.php,
Certificaciones.html,public/pages/institucional/Certificaciones.php,
Cobertor.html,public/pages/productos/Cobertor.php,
Conocenos.html,public/pages/institucional/Conocenos.php,
Laminas.html,public/pages/productos/Laminas.php,
Mangas.html,public/pages/productos/Mangas.php,
Mantas.html,public/pages/productos/Mantas.php,
MisionVision.html,public/pages/institucional/MisionVision.php,
PageConstruction.html,public/pages/otros/PageConstruction.html,
PoliticasCalidad.html,public/pages/institucional/PoliticasCalidad.php,
Productos.html,public/pages/productos/Productos.php,
SpryAssets/SpryMenuBar.js,public/assets/js/SpryMenuBar.js,
SpryAssets/SpryMenuBarVertical.css,public/assets/css/SpryMenuBarVertical.css,
Tubos.html,public/pages/productos/Tubos.php,
contactenos - copia.html,public/pages/contacto/contactenos - copia.php,Archivo extra / de prueba — revisar si conservar o mover a /db/backups/
contactenos.html,public/pages/contacto/contactenos.php,
contacto.php,public/pages/contacto/contacto.php,
contacto2.php,public/pages/contacto/contacto2.php,
css/Lumina_style.css,public/assets/css/Lumina_style.css,Archivo estático ubicado en carpeta técnica — mover a /public/assets/
css/accordionmenu.css,public/assets/css/accordionmenu.css,Archivo estático ubicado en carpeta técnica — mover a /public/assets/
